ttp,Nitro,Scarab,FIN7,Waterbug,Hidden Cobra,TA505,Quedagh,Tick,TwoForOne,Patchwork,APT28,APT1,MageCart,SEA,Darkhotel,Energetic Bear,MuddyWater,Rocke,APT29,Molerats,Silence
T1078,0.03230208903551102,0.033089980483055115,0.05238065496087074,0.05412360653281212,0.04182296246290207,0.06098897382616997,0.042058736085891724,0.047998469322919846,0.04116414859890938,0.04262274131178856,0.036487776786088943,0.0497908741235733,0.06454745680093765,0.06538306921720505,0.044524870812892914,0.0585818774998188,0.043646663427352905,0.03935788944363594,0.05559525266289711,0.05069103091955185,0.042840760201215744
T1554,0.03131095692515373,0.03698408603668213,0.02051416039466858,0.05791742354631424,0.06463101506233215,0.05112450569868088,0.06080099940299988,0.058613371104002,0.06764376163482666,0.044614773243665695,0.020792199298739433,0.05540460720658302,0.04143991693854332,0.0634152814745903,0.04199374094605446,0.060500532388687134,0.05107751861214638,0.03260532394051552,0.03463377803564072,0.0694991871714592,0.03448283672332764
T1133,0.039302900433540344,0.04288933798670769,0.061491601169109344,0.05125073716044426,0.03681878373026848,0.047537315636873245,0.04754575341939926,0.0450458824634552,0.04292893409729004,0.052110206335783005,0.03280492499470711,0.04653272405266762,0.05150279775261879,0.06028652936220169,0.04467848688364029,0.05736555904150009,0.043165795505046844,0.04684210941195488,0.055452775210142136,0.049593281000852585,0.04485352337360382
T1021,0.028668172657489777,0.04278060793876648,0.04229775071144104,0.051597028970718384,0.03393595665693283,0.04535670951008797,0.05380115285515785,0.04832562431693077,0.04165669158101082,0.05838543176651001,0.027920911088585854,0.04409101977944374,0.044498126953840256,0.08738932758569717,0.038490597158670425,0.06471271812915802,0.04807782173156738,0.043091047555208206,0.05000532045960426,0.05939335748553276,0.04552464559674263
T1080,0.04082583263516426,0.03390130773186684,0.04369674250483513,0.0562947615981102,0.058553267270326614,0.05569961294531822,0.04250615835189819,0.04400293529033661,0.047007132321596146,0.04132077842950821,0.046808116137981415,0.04195452481508255,0.04337397962808609,0.05150650069117546,0.05346519872546196,0.05047127604484558,0.0518917515873909,0.041281040757894516,0.055161505937576294,0.05593542009592056,0.04434216767549515
T1563,0.030716024339199066,0.0467282310128212,0.036011334508657455,0.042527344077825546,0.02805493026971817,0.039139118045568466,0.05741404369473457,0.04413687065243721,0.04056916758418083,0.06444999575614929,0.03131933882832527,0.04131773114204407,0.03898025304079056,0.10631424188613892,0.03943849354982376,0.0672675222158432,0.050191424787044525,0.04642034322023392,0.04704887047410011,0.06008053943514824,0.0418742410838604
T1570,0.03407203406095505,0.039091963320970535,0.04560606926679611,0.04441011697053909,0.036903705447912216,0.0534994900226593,0.05614577978849411,0.04589115083217621,0.04581634700298309,0.051123667508363724,0.02804434671998024,0.04727908596396446,0.04882067069411278,0.06667174398899078,0.048132024705410004,0.06900700181722641,0.045988116413354874,0.04299108684062958,0.05579381808638573,0.056992437690496445,0.037719257175922394
T1210,0.036439716815948486,0.03970049321651459,0.047086361795663834,0.05826195701956749,0.04411596432328224,0.05133269727230072,0.039812058210372925,0.045020852237939835,0.04372039809823036,0.05258946493268013,0.03675512596964836,0.04373811185359955,0.05278359353542328,0.0642639547586441,0.042234282940626144,0.05340937152504921,0.05168215185403824,0.04151143133640289,0.05268225818872452,0.05652030557394028,0.046339426189661026
T1127,0.044439397752285004,0.036039624363183975,0.03821903467178345,0.06255537271499634,0.03536419942975044,0.04653652757406235,0.02873787097632885,0.03680349141359329,0.04909209907054901,0.06566400825977325,0.050941288471221924,0.042648013681173325,0.05305800586938858,0.06233840435743332,0.05248159170150757,0.04540494456887245,0.055317703634500504,0.045502178370952606,0.047134000808000565,0.05641738325357437,0.045304857194423676
T1497,0.03866814821958542,0.04464145377278328,0.051231514662504196,0.06814423203468323,0.03247084841132164,0.044536489993333817,0.02878618612885475,0.04417862370610237,0.03857271745800972,0.06492868065834045,0.04336400702595711,0.04646329581737518,0.06692815572023392,0.07169204205274582,0.03631880506873131,0.04494068771600723,0.04063969478011131,0.05192689597606659,0.046452656388282776,0.044988811016082764,0.050126031041145325
